RestaurantID,RestaurantName,PasswordHash,Description,LogoImage,BusinessStatus,DeliveryFee,MinimumOrderAmount,DeliveryArea,AverageRating
27,Owens LLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Switchable bottom-line moderator,https://placekitten.com/285/441,Closed,3.41,53.26,West Lindashire,3.6
28,Woods Group,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Devolved 6thgeneration attitude,https://picsum.photos/502/904,Resting,9.13,17.05,Sanderschester,4.8
29,Strong-Foley,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Versatile static functionalities,https://picsum.photos/60/989,Resting,6.35,57.13,New Monicaburgh,4.4
30,Fields Hernandez and Watson,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Proactive directional matrices,https://picsum.photos/848/340,Resting,2.59,25.33,Joneston,4.0
31,Bryant-Moses,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Cloned explicit portal,https://placekitten.com/526/211,Open,9.25,42.67,Port Kennethbury,3.2
32,Newton Daniels and Gross,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Operative impactful open system,https://placekitten.com/159/109,Resting,3.39,36.96,West Larryborough,4.6
33,Rosario-Smith,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Vision-oriented demand-driven time-frame,https://dummyimage.com/136x893,Open,3.3,20.64,Hoffmanberg,3.2
34,Evans-Solis,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Monitored tangible application,https://picsum.photos/501/616,Resting,6.49,59.76,Jacobport,4.3
35,Gibson Nichols and Brock,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Quality-focused 6thgeneration policy,https://picsum.photos/970/596,Resting,2.86,23.09,West Mark,4.4
36,Bradley PLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Optional analyzing firmware,https://placekitten.com/121/598,Open,2.98,16.3,Port Travis,3.1
37,Reid PLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Synergistic attitude-oriented moratorium,https://placekitten.com/498/252,Resting,8.86,45.31,North Lesliestad,4.5
38,Clark LLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Cross-platform motivating migration,https://dummyimage.com/982x618,Resting,3.66,23.55,North Bethfort,3.4
39,Perry Hayes and Johnson,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Open-source tangible forecast,https://placekitten.com/724/966,Closed,4.18,35.42,New Tinashire,3.9
40,Watkins Cox and Sanders,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Cloned neutral open system,https://dummyimage.com/341x297,Resting,8.45,24.78,Ashleyberg,4.2
41,Hill-Kim,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Re-engineered incremental attitude,https://placekitten.com/841/609,Closed,8.91,41.75,South George,3.3
42,Cruz-Wells,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Open-architected clear-thinking instruction set,https://picsum.photos/814/626,Open,3.28,32.91,North Ann,4.5
43,Clark-Smith,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Cloned 24/7 implementation,https://placekitten.com/508/749,Closed,5.64,15.67,Port Ronaldtown,3.7
44,Wright Group,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Down-sized fresh-thinking core,https://picsum.photos/128/413,Open,8.18,48.84,West Carol,3.8
45,Martinez Group,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Balanced attitude-oriented solution,https://picsum.photos/481/579,Open,3.71,35.91,Jamestown,4.0
46,Donaldson and Sons,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Enterprise-wide client-server protocol,https://dummyimage.com/978x38,Open,5.45,15.48,Jamieberg,3.7
47,Cobb Bailey and Simmons,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Diverse coherent conglomeration,https://placekitten.com/997/661,Closed,7.33,22.09,South Ricky,4.2
48,Smith and Sons,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Pre-emptive exuding flexibility,https://picsum.photos/1006/554,Open,8.61,53.09,Robertburgh,3.1
49,Perry and Sons,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Devolved even-keeled interface,https://dummyimage.com/278x888,Open,3.4,53.76,Hamptonshire,3.6
50,Mitchell Sutton and Harmon,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Seamless heuristic benchmark,https://placekitten.com/684/73,Closed,5.96,31.33,Lake Christopher,3.9
51,Miles-Daniels,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Upgradable systemic budgetary management,https://dummyimage.com/947x2,Closed,9.55,42.6,Michaelborough,3.3
52,Miller-Ward,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Secured stable portal,https://dummyimage.com/75x88,Open,2.95,34.16,Kristenmouth,4.9
53,Allen Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Virtual responsive info-mediaries,https://picsum.photos/463/857,Resting,7.64,17.45,Williammouth,3.9
54,Rojas Hoover and Mcgrath,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Profit-focused transitional function,https://dummyimage.com/333x458,Open,8.48,55.04,Danielview,3.5
55,Jackson-Cherry,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Open-source leadingedge encoding,https://placekitten.com/15/919,Open,4.54,54.13,Port Stephanie,3.3
56,Buckley Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Switchable local core,https://placekitten.com/841/409,Resting,6.67,34.41,New Keith,4.9
57,Griffin Ortiz and Pennington,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Centralized even-keeled hub,https://placekitten.com/41/811,Resting,7.59,34.53,East Jessicaberg,3.3
58,Lewis PLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Face-to-face regional strategy,https://dummyimage.com/968x751,Open,9.52,38.14,New Reginashire,3.4
59,Evans LLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Balanced coherent model,https://placekitten.com/123/267,Resting,6.59,35.06,Port Andreachester,4.6
60,Odom Campos and Marks,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Progressive modular installation,https://picsum.photos/731/571,Resting,9.4,39.84,South Jasmineview,4.5
61,Lopez-Webb,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Visionary context-sensitive synergy,https://dummyimage.com/491x614,Closed,6.73,35.25,East Wendystad,3.2
62,Shah Ramirez and Smith,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Intuitive exuding protocol,https://dummyimage.com/114x98,Closed,8.09,29.32,East David,4.0
63,Price Mueller and Lucas,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Assimilated static utilization,https://picsum.photos/293/944,Open,8.58,51.23,East Gerald,3.5
64,Gordon-Kelley,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Versatile asymmetric firmware,https://dummyimage.com/790x815,Closed,6.58,27.88,South Alison,4.4
65,Moore Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Customer-focused non-volatile support,https://dummyimage.com/960x269,Open,5.75,39.34,South Katherinemouth,3.5
66,Rivera and Sons,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Team-oriented object-oriented synergy,https://placekitten.com/530/1015,Resting,3.68,33.61,Pageshire,3.3
67,Perez Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Profound context-sensitive hardware,https://placekitten.com/592/805,Closed,4.28,39.2,West Denise,4.9
68,Combs Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Reactive 4thgeneration pricing structure,https://dummyimage.com/384x156,Open,6.04,35.86,Davidville,3.6
69,Hobbs-Stephens,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Expanded intermediate migration,https://dummyimage.com/699x97,Open,7.18,32.52,Loriberg,3.6
70,Eaton Collins and Dillon,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Polarized multi-tasking firmware,https://placekitten.com/821/913,Open,9.7,56.0,Tylerburgh,4.0
71,Roberson-Chase,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Digitized 6thgeneration info-mediaries,https://placekitten.com/452/833,Closed,9.74,41.89,Adamport,3.8
72,Williams-Thomas,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Visionary 24/7 encoding,https://picsum.photos/373/402,Open,8.05,55.65,East Michael,3.2
73,Ramos Lowe and Miller,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Networked secondary service-desk,https://picsum.photos/270/555,Resting,4.59,59.86,Williamview,4.9
74,Waller Young and Kim,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Self-enabling holistic solution,https://dummyimage.com/380x1018,Open,8.07,26.44,North Kevinmouth,4.6
75,Atkins-Webster,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Re-engineered foreground concept,https://picsum.photos/735/879,Closed,7.37,38.42,New Olivia,4.9
76,Cook-Mitchell,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Function-based attitude-oriented functionalities,https://picsum.photos/557/672,Closed,3.34,47.13,Ashleymouth,4.7
77,Stephens Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Realigned contextually-based complexity,https://dummyimage.com/269x179,Open,5.7,19.51,Scottchester,3.5
78,Graham Garrett and Mccullough,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Function-based discrete throughput,https://placekitten.com/145/461,Resting,5.08,59.07,North Jack,4.7
79,Villarreal Williams and Tanner,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Open-source asymmetric capability,https://placekitten.com/249/844,Open,3.78,41.28,New Andreaburgh,3.3
80,James Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Universal value-added challenge,https://picsum.photos/61/654,Resting,9.18,51.77,Andrewmouth,4.9
81,Kramer LLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,User-friendly asymmetric synergy,https://dummyimage.com/630x470,Closed,7.49,58.93,New Rachel,3.7
82,Reed LLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Open-architected mission-critical encoding,https://dummyimage.com/230x438,Closed,7.04,30.01,New Josebury,4.6
83,Reed-Case,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Pre-emptive object-oriented superstructure,https://placekitten.com/798/185,Open,2.16,27.54,Mckinneyside,3.3
84,Harrison PLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Organized actuating capability,https://placekitten.com/978/95,Closed,3.37,50.95,West Feliciahaven,3.5
85,Wood Adams and Hawkins,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Quality-focused tangible frame,https://dummyimage.com/958x1021,Resting,3.06,34.28,Jacobmouth,4.1
86,Lawrence Ltd,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Enterprise-wide 3rdgeneration circuit,https://dummyimage.com/145x615,Open,8.5,45.38,Gregoryside,3.5
87,Cruz Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Fully-configurable local definition,https://placekitten.com/416/271,Open,7.1,45.51,Smithhaven,5.0
88,Russell Barton and Anderson,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Synergized zero tolerance frame,https://picsum.photos/42/389,Resting,5.36,36.39,East Ashleyhaven,3.6
89,Frost Richardson and Woods,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Re-engineered modular alliance,https://picsum.photos/467/886,Closed,5.69,28.1,Dylanmouth,4.8
90,Rose and Sons,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Compatible impactful success,https://dummyimage.com/692x870,Resting,5.58,39.86,West Brent,3.1
91,Lee Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Innovative clear-thinking emulation,https://dummyimage.com/747x692,Closed,3.5,44.3,Susanborough,4.0
92,Wells and Sons,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Intuitive methodical data-warehouse,https://placekitten.com/77/283,Closed,6.03,31.37,Thomasberg,3.3
93,Davis Group,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Horizontal upward-trending secured line,https://dummyimage.com/316x366,Resting,7.89,58.91,North John,3.5
94,Anderson Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Virtual leadingedge project,https://dummyimage.com/224x465,Open,5.52,29.69,Cowanhaven,3.0
95,Roberts-Taylor,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Upgradable tangible challenge,https://dummyimage.com/13x734,Resting,2.92,17.22,East Scott,4.5
96,Walker-Kennedy,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Right-sized homogeneous focus group,https://dummyimage.com/116x180,Resting,2.65,54.48,Port Lanceside,4.3
97,Kirby and Sons,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Future-proofed zero tolerance extranet,https://placekitten.com/390/559,Closed,9.55,38.7,Kristaborough,4.3
98,Clark-Garcia,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Open-architected asymmetric hierarchy,https://dummyimage.com/641x933,Open,7.36,44.81,Cobbville,4.3
99,Levine-Snow,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Stand-alone optimal strategy,https://dummyimage.com/162x479,Resting,4.42,28.2,Bethanybury,3.1
100,Olson PLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Upgradable upward-trending software,https://picsum.photos/856/330,Open,7.38,39.29,Mariomouth,4.4
101,Williams-Miller,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Organized executive framework,https://dummyimage.com/587x569,Closed,7.19,29.12,Angelachester,3.7
102,Howell Ltd,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Optimized 6thgeneration Graphic Interface,https://placekitten.com/988/461,Open,6.98,50.68,North Christine,3.5
103,Parker Group,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Universal bottom-line access,https://dummyimage.com/896x38,Closed,3.21,30.73,New Jason,4.2
104,Newman Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Right-sized needs-based frame,https://placekitten.com/468/495,Closed,3.57,57.08,Lake Kevin,4.6
105,Griffin Miranda and Owens,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Reactive contextually-based hardware,https://placekitten.com/550/429,Resting,2.4,22.18,East Ralph,4.6
106,Luna PLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Advanced high-level intranet,https://dummyimage.com/996x834,Resting,4.11,17.42,West Adam,3.4
107,Hughes Martinez and Williams,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Customizable 6thgeneration productivity,https://placekitten.com/681/203,Open,3.07,15.6,Coreyland,3.7
108,Molina LLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Streamlined bottom-line time-frame,https://dummyimage.com/704x665,Closed,9.25,20.62,New Brian,4.7
109,Black-Shaw,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Open-source multi-tasking migration,https://dummyimage.com/310x465,Closed,4.62,48.11,Smithstad,4.2
110,Huff Swanson and Montoya,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Networked clear-thinking software,https://picsum.photos/70/711,Resting,5.31,43.21,Port Pamelaville,3.9
111,Lawson-Young,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Reactive incremental support,https://dummyimage.com/802x914,Open,8.69,37.88,West Adam,4.4
112,Petty Cole and Hayes,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Multi-layered context-sensitive synergy,https://dummyimage.com/430x927,Closed,5.96,32.83,North Kristinamouth,3.9
113,George-Bentley,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Reduced motivating intranet,https://placekitten.com/816/321,Open,9.4,53.17,West Nancystad,4.9
114,Adkins Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Configurable real-time Graphical User Interface,https://dummyimage.com/121x135,Resting,7.12,51.77,South Marissa,4.9
115,Graham Chen and Hayes,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Upgradable needs-based synergy,https://picsum.photos/716/259,Open,4.96,53.98,West Shaun,4.7
116,Davis and Sons,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Function-based systemic access,https://dummyimage.com/363x684,Open,4.62,50.67,New Mariaview,4.2
117,Jones-Martinez,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Persistent client-driven challenge,https://picsum.photos/1001/823,Closed,8.88,50.09,Lake Christopher,4.9
118,Herrera PLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Ameliorated incremental circuit,https://placekitten.com/588/503,Closed,7.14,47.58,Jefferyburgh,3.8
119,Davidson and Sons,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Profit-focused value-added Graphical User Interface,https://placekitten.com/311/1001,Resting,4.06,20.03,Shelbyshire,3.5
120,Kennedy Mccormick and Griffith,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Synchronized eco-centric knowledgebase,https://picsum.photos/34/261,Resting,9.21,47.2,Gregoryview,4.8
121,Scott Ltd,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Sharable methodical application,https://placekitten.com/176/610,Open,8.03,23.5,South Karen,4.6
122,Newman-Brewer,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Automated real-time Graphical User Interface,https://picsum.photos/115/188,Closed,2.48,30.04,Nathanfurt,5.0
123,Jackson Inc,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Triple-buffered web-enabled success,https://placekitten.com/952/426,Open,9.16,27.31,South Kristopherfort,3.2
124,Joyce Mahoney and Stewart,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Digitized radical pricing structure,https://picsum.photos/239/871,Open,4.0,55.51,Scottside,5.0
125,Luna Rogers and Robinson,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Proactive 5thgeneration infrastructure,https://placekitten.com/484/209,Open,6.19,40.14,Lake Mitchell,3.2
126,Davis Dawson and Carr,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Ameliorated hybrid collaboration,https://picsum.photos/317/525,Closed,8.27,51.37,Michaelton,4.2
127,Garcia Ltd,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Fully-configurable holistic conglomeration,https://dummyimage.com/69x829,Resting,5.47,42.95,South Justinburgh,3.5
128,Dickerson Rosales and Wolfe,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Profit-focused well-modulated throughput,https://dummyimage.com/305x795,Open,7.41,21.39,East Sierraberg,4.7
129,Ball Johnson and Whitney,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Streamlined user-facing capacity,https://picsum.photos/128/82,Closed,6.37,35.72,New Rachael,4.8
130,Boyer Allen and Wang,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Inverse 6thgeneration conglomeration,https://picsum.photos/490/854,Closed,5.51,21.54,Port Jillbury,3.7
