RiderID,Name,PhoneNumber,IDNumber,AverageRating,LastKnownLocation,CurrentStatus
157,Debra Patton,(410)894-5317,148-21-7156,4.5,"68364 Laura Route West Patricia, GA 23754",Delivering
158,Andrew Garcia,746.386.6365x6506,764-48-0048,3.7,"0734 Roman Locks Suite 290 Hollyburgh, OH 66861",Resting
159,Kelsey Drake,373-836-5465,304-41-1646,4.3,"2420 Mark Coves Mezatown, AK 20219",Available
160,Elizabeth Thomas,945.354.1789x362,256-72-1642,3.7,"6045 Justin Run Amyport, MO 48998",Available
161,Mary Williams,001-407-360-8209x9328,551-09-2180,3.8,"80724 David Throughway Lake Billytown, MI 56208",Available
162,Jamie Copeland,353-257-7154x82966,896-94-0083,4.0,"894 Bowen Cape Perryburgh, UT 61808",Available
163,Michael Fletcher,276-575-2974,375-24-4259,3.6,"1182 Stokes Court Suite 982 Port Adam, PW 38151",Resting
164,Stephanie Callahan,001-759-804-2801x63856,888-75-0745,4.9,"862 Miller Cliff Apt. 445 Williamsside, IN 14243",Resting
165,Debra Garcia,(473)433-5196x2868,053-98-3997,3.9,"33706 Fred Points Port Tiffanyfort, FL 00533",Resting
166,Tara Lin,221-345-4964,080-77-1040,4.2,"7534 Francis Gardens New Jessicaton, NJ 04696",Resting
167,Jasmine Mccarthy,001-741-894-7373x940,554-37-2334,3.6,"440 Brooke Lights Suite 611 Brettton, CA 21124",Resting
168,Karen Hale,001-539-974-6289,586-24-4861,4.1,"4537 Moore Trail Apt. 508 Jimmyton, AL 38694",Delivering
169,Katrina Wheeler,862-255-3808,489-87-4127,4.8,"00129 Matthew Fords New Lauren, MS 56520",Available
170,Madison Spencer,(973)560-8406,516-58-0975,3.9,"880 Johnson Pass West Katherinechester, AR 93836",Available
171,Matthew Moore,+1-516-452-5056x68067,312-74-6493,3.8,"867 Skinner Turnpike Apt. 515 Fostermouth, IL 32905",Available
172,Brenda Choi,(346)462-3507x474,767-40-1778,5.0,Unit 4633 Box 7404 DPO AP 78000,Available
173,Jacob Galloway,988.686.7369,363-48-5633,4.4,"66461 Alexandra Corner Apt. 104 Hurstbury, NE 47818",Resting
174,Jeremy Stone MD,595.705.0193,637-48-6154,4.0,"61561 Holland Rapid Lake Kevinhaven, FL 51833",Available
175,Monica Williams,(385)210-0993x81160,876-96-5650,4.6,"335 Barrera Prairie Suite 511 Stanleychester, MT 18272",Resting
176,Paula Sanchez,001-338-881-0112x090,227-64-9760,3.8,"359 Benson Grove Adamburgh, AZ 41301",Resting
177,Carlos Gomez,001-857-653-5601x79278,075-40-5772,3.8,"48088 Maldonado Summit Suite 549 Lake Mary, VT 91845",Delivering
178,Brittany Foster,297.990.1835x4434,627-11-9216,4.2,"608 Kim Locks Justinfurt, TX 59332",Available
179,Carmen Ward,001-660-949-0475x82619,381-65-8616,3.7,"7630 Henderson Ports Hollandburgh, HI 83401",Resting
180,James Schroeder,(740)306-0662,872-58-4505,4.4,"80370 Alan Landing Apt. 939 Josephview, WV 13755",Delivering
181,Nicholas Reynolds,8695999882,279-31-4058,4.5,"123 Keith Road Apt. 508 North Wendyshire, MO 80703",Available
182,Margaret Green,001-532-656-7793x131,874-79-9701,4.9,"1885 Nguyen Square New Tiffanyfurt, WI 73835",Resting
183,Michael Nelson,7306889180,883-06-2379,3.9,"70310 Amy Curve Suite 473 Singletonberg, MN 57014",Available
184,Melanie Carter,+1-253-481-0981x5025,463-17-6945,3.8,"8054 Bell Lock Lake Richard, PW 97301",Delivering
185,Jacob Warren,2562354226,040-44-3205,3.7,"166 Bright Pine Apt. 528 Sharonborough, AK 76365",Available
186,Adam Carey,685.744.3065,085-37-0461,3.7,"PSC 8685, Box 0347 APO AP 50965",Available
187,John Watson,825.424.2506x0428,045-43-3102,4.4,"848 Daniel Overpass East Curtis, AL 96263",Delivering
188,Edward Jensen,(422)297-6231x4170,219-87-1396,5.0,"150 Mcdonald Glen South Michaelberg, CA 71580",Delivering
189,Travis Warren,(997)623-9080x411,361-59-0438,3.6,"836 Carolyn Route West Mirandaview, WV 39921",Resting
190,Connie Jordan,265.334.0950,877-22-4238,4.5,"113 Hubbard Underpass Suite 690 Port David, AR 25721",Available
191,Christopher Cisneros,839-996-3838x78912,314-33-1885,4.7,"29093 Elizabeth Crossing Suite 811 Judyville, MP 80476",Available
192,Ethan Cox,+1-243-491-8694x9903,601-03-6720,4.5,"8311 Rivera Curve Apt. 172 Lake Amandaland, NE 12089",Delivering
193,Emily Robinson,4294423222,690-78-8307,4.8,"58462 Huynh Keys West Dennis, OH 43931",Delivering
194,Michael Gutierrez,(987)524-3139,134-35-1245,3.7,"6787 Jasmine Bridge Suite 236 Jeffreychester, WA 40422",Resting
195,Frank Robinson,+1-568-403-7151x743,140-69-8515,4.4,"9980 Jacqueline Villages West Stephenmouth, KS 99366",Available
196,Heather Torres,893-836-6097x900,473-24-6247,4.1,"23712 Joanna Extension Lake Ruth, SD 57510",Available
197,Taylor Reilly,926-725-5243x626,295-41-9786,3.9,"PSC 6552, Box 7590 APO AP 21957",Available
198,Jessica Simmons,543-659-1468,631-07-8842,4.5,"75151 Jordan Circles Leeport, AR 17988",Available
199,Christopher Castaneda,461-782-4346x7034,794-01-7467,3.9,"98053 Bradford Mission Suite 029 East Joshua, NJ 62350",Delivering
200,Mary Osborne,689-413-0146,438-50-2255,4.5,"5439 Donovan Radial Apt. 170 North Curtis, MN 22043",Resting
201,Mark Mckay,330-654-5734x12355,775-73-0954,4.7,"510 Williams Freeway Apt. 943 Reneehaven, CO 05352",Resting
202,Jacob Perez,001-496-982-5411x089,779-07-3658,3.6,"6181 Diaz Point Simpsonfort, DC 62137",Resting
203,Jesse Roy,001-665-626-0842,390-97-8024,4.7,"709 Vincent Row West Karen, HI 69277",Resting
204,Kathryn Sandoval,266.970.0106,326-69-5210,4.6,"05921 Kari Cove Suite 141 Erikbury, ID 82397",Resting
205,Steven Whitney,(887)702-6862,858-38-0345,4.4,"836 Dominguez Drives North Caroline, MO 63313",Resting
206,Caitlin Mullen,848.392.4792x68211,250-58-4906,4.0,USNV Kramer FPO AP 02496,Delivering
207,Lisa Rodriguez,(858)270-8296x97161,668-99-4576,4.4,"276 Michael Gardens Suite 651 New Michael, PR 12977",Available
208,Deborah Cook,001-567-483-4072x307,711-85-9704,3.6,"530 Daniel Causeway Suite 430 Cassandraview, IA 08573",Delivering
209,John Barnett,961-384-0263x5640,381-56-1365,4.8,"44818 Anderson Mountain Lindseymouth, ME 60338",Resting
210,Elaine Gray,+1-288-213-5518x0940,210-65-1161,4.0,"689 Matthew Streets Apt. 013 West Steven, MA 79249",Delivering
211,Sean Decker,5463043246,747-93-7541,4.7,Unit 5347 Box 0827 DPO AP 17170,Resting
212,Scott Burns,(875)407-3896,321-17-5476,4.6,"1957 Smith Falls Apt. 341 West Cynthia, TN 64953",Delivering
213,David Mendez,832-901-7347x68200,335-93-3990,4.4,"62029 Lewis Skyway Suite 208 New Toniberg, RI 99205",Delivering
214,Brittany Glass,4803177086,581-57-0233,3.8,"14225 Bailey Lodge Apt. 317 Smithchester, GA 13728",Resting
215,Sarah Stephens,7868747041,326-62-9815,4.7,"101 Tracy Streets Port Bryan, RI 30758",Delivering
216,Angelica Higgins,886-889-8668x191,120-10-0958,4.7,"6391 Ryan Port East Benjaminstad, TX 71725",Resting
217,Ronald Jones,001-457-548-7634,061-10-5031,3.9,"323 Michelle Village Lake Christina, AL 71614",Delivering
218,Peter Mullins,690.761.2464x18943,881-02-0770,4.0,"25850 Hood Burgs New Samantha, VT 59834",Resting
219,Darryl Gould,(202)717-5052x700,765-67-7320,4.3,"846 Robert Villages East Hollyborough, KY 72651",Delivering
220,James Hill,390-965-8266x5089,280-66-7427,4.7,"5798 Brock Crescent Apt. 473 Michaelburgh, VI 32733",Resting
221,Dana Thomas,687-788-1097x120,424-54-9879,4.7,Unit 6276 Box 0202 DPO AE 45556,Resting
222,Deborah Johnson,635.570.4407,618-53-8771,3.7,"41565 Frazier Islands West Cynthiaton, MP 84193",Available
223,Kimberly Moreno,3792459814,813-58-6065,4.0,"1384 Thomas Roads South Katherineton, WI 54373",Delivering
224,Mark Jennings DDS,(970)212-7665x259,890-27-0423,4.1,"23526 Fisher Street South Darrenchester, MD 89159",Resting
225,Taylor Ellison,954-423-4284,102-28-1615,4.0,"1986 Rhonda Station New Amanda, KY 81455",Available
226,James Arellano,(860)422-7780x51010,757-48-0415,4.5,"13831 Susan Ridges Josephborough, PA 82840",Available
227,John Carroll,001-627-548-6983x367,034-59-3865,4.8,"249 Jason Vista Haneyton, LA 05703",Available
228,Jennifer Horton,835-798-8570x4839,872-55-5210,4.1,USNS Morgan FPO AE 87724,Available
